word_id,text_id,page_num,word_idx
enc_wikimoon_13_page_1_0,enc_wikimoon_13,1,0
enc_wikimoon_13_page_1_1,enc_wikimoon_13,1,1
enc_wikimoon_13_page_1_2,enc_wikimoon_13,1,2
enc_wikimoon_13_page_1_3,enc_wikimoon_13,1,3
enc_wikimoon_13_page_1_4,enc_wikimoon_13,1,4
enc_wikimoon_13_page_1_5,enc_wikimoon_13,1,5
enc_wikimoon_13_page_1_6,enc_wikimoon_13,1,6
enc_wikimoon_13_page_1_7,enc_wikimoon_13,1,7
enc_wikimoon_13_page_1_8,enc_wikimoon_13,1,8
enc_wikimoon_13_page_1_9,enc_wikimoon_13,1,9
enc_wikimoon_13_page_1_10,enc_wikimoon_13,1,10
enc_wikimoon_13_page_1_11,enc_wikimoon_13,1,11
enc_wikimoon_13_page_1_12,enc_wikimoon_13,1,12
enc_wikimoon_13_page_1_13,enc_wikimoon_13,1,13
enc_wikimoon_13_page_1_14,enc_wikimoon_13,1,14
enc_wikimoon_13_page_1_15,enc_wikimoon_13,1,15
enc_wikimoon_13_page_1_16,enc_wikimoon_13,1,16
enc_wikimoon_13_page_1_17,enc_wikimoon_13,1,17
enc_wikimoon_13_page_1_18,enc_wikimoon_13,1,18
enc_wikimoon_13_page_1_19,enc_wikimoon_13,1,19
enc_wikimoon_13_page_1_20,enc_wikimoon_13,1,20
enc_wikimoon_13_page_1_21,enc_wikimoon_13,1,21
enc_wikimoon_13_page_1_22,enc_wikimoon_13,1,22
enc_wikimoon_13_page_1_23,enc_wikimoon_13,1,23
enc_wikimoon_13_page_1_24,enc_wikimoon_13,1,24
enc_wikimoon_13_page_1_25,enc_wikimoon_13,1,25
enc_wikimoon_13_page_1_26,enc_wikimoon_13,1,26
enc_wikimoon_13_page_1_27,enc_wikimoon_13,1,27
enc_wikimoon_13_page_1_28,enc_wikimoon_13,1,28
enc_wikimoon_13_page_1_29,enc_wikimoon_13,1,29
enc_wikimoon_13_page_1_30,enc_wikimoon_13,1,30
enc_wikimoon_13_page_1_31,enc_wikimoon_13,1,31
enc_wikimoon_13_page_1_32,enc_wikimoon_13,1,32
enc_wikimoon_13_page_1_33,enc_wikimoon_13,1,33
enc_wikimoon_13_page_1_34,enc_wikimoon_13,1,34
enc_wikimoon_13_page_1_35,enc_wikimoon_13,1,35
enc_wikimoon_13_page_1_36,enc_wikimoon_13,1,36
enc_wikimoon_13_page_1_37,enc_wikimoon_13,1,37
enc_wikimoon_13_page_1_38,enc_wikimoon_13,1,38
enc_wikimoon_13_page_2_0,enc_wikimoon_13,2,0
enc_wikimoon_13_page_2_1,enc_wikimoon_13,2,1
enc_wikimoon_13_page_2_2,enc_wikimoon_13,2,2
enc_wikimoon_13_page_2_3,enc_wikimoon_13,2,3
enc_wikimoon_13_page_2_4,enc_wikimoon_13,2,4
enc_wikimoon_13_page_2_5,enc_wikimoon_13,2,5
enc_wikimoon_13_page_2_6,enc_wikimoon_13,2,6
enc_wikimoon_13_page_2_7,enc_wikimoon_13,2,7
enc_wikimoon_13_page_2_8,enc_wikimoon_13,2,8
enc_wikimoon_13_page_2_9,enc_wikimoon_13,2,9
enc_wikimoon_13_page_2_10,enc_wikimoon_13,2,10
enc_wikimoon_13_page_2_11,enc_wikimoon_13,2,11
enc_wikimoon_13_page_2_12,enc_wikimoon_13,2,12
enc_wikimoon_13_page_2_13,enc_wikimoon_13,2,13
enc_wikimoon_13_page_2_14,enc_wikimoon_13,2,14
enc_wikimoon_13_page_2_15,enc_wikimoon_13,2,15
enc_wikimoon_13_page_2_16,enc_wikimoon_13,2,16
enc_wikimoon_13_page_2_17,enc_wikimoon_13,2,17
enc_wikimoon_13_page_2_18,enc_wikimoon_13,2,18
enc_wikimoon_13_page_2_19,enc_wikimoon_13,2,19
enc_wikimoon_13_page_2_20,enc_wikimoon_13,2,20
enc_wikimoon_13_page_2_21,enc_wikimoon_13,2,21
enc_wikimoon_13_page_2_22,enc_wikimoon_13,2,22
enc_wikimoon_13_page_2_23,enc_wikimoon_13,2,23
enc_wikimoon_13_page_2_24,enc_wikimoon_13,2,24
enc_wikimoon_13_page_2_25,enc_wikimoon_13,2,25
enc_wikimoon_13_page_2_26,enc_wikimoon_13,2,26
enc_wikimoon_13_page_2_27,enc_wikimoon_13,2,27
enc_wikimoon_13_page_2_28,enc_wikimoon_13,2,28
enc_wikimoon_13_page_2_29,enc_wikimoon_13,2,29
enc_wikimoon_13_page_2_30,enc_wikimoon_13,2,30
enc_wikimoon_13_page_2_31,enc_wikimoon_13,2,31
enc_wikimoon_13_page_2_32,enc_wikimoon_13,2,32
enc_wikimoon_13_page_2_33,enc_wikimoon_13,2,33
enc_wikimoon_13_page_2_34,enc_wikimoon_13,2,34
enc_wikimoon_13_page_2_35,enc_wikimoon_13,2,35
enc_wikimoon_13_page_2_36,enc_wikimoon_13,2,36
enc_wikimoon_13_page_2_37,enc_wikimoon_13,2,37
enc_wikimoon_13_page_2_38,enc_wikimoon_13,2,38
enc_wikimoon_13_page_2_39,enc_wikimoon_13,2,39
enc_wikimoon_13_page_2_40,enc_wikimoon_13,2,40
enc_wikimoon_13_page_2_41,enc_wikimoon_13,2,41
enc_wikimoon_13_page_2_42,enc_wikimoon_13,2,42
enc_wikimoon_13_page_2_43,enc_wikimoon_13,2,43
enc_wikimoon_13_page_2_44,enc_wikimoon_13,2,44
enc_wikimoon_13_page_2_45,enc_wikimoon_13,2,45
enc_wikimoon_13_page_2_46,enc_wikimoon_13,2,46
enc_wikimoon_13_page_2_47,enc_wikimoon_13,2,47
enc_wikimoon_13_page_2_48,enc_wikimoon_13,2,48
enc_wikimoon_13_page_2_49,enc_wikimoon_13,2,49
enc_wikimoon_13_page_2_50,enc_wikimoon_13,2,50
enc_wikimoon_13_page_2_51,enc_wikimoon_13,2,51
enc_wikimoon_13_page_2_52,enc_wikimoon_13,2,52
enc_wikimoon_13_page_2_53,enc_wikimoon_13,2,53
enc_wikimoon_13_page_2_54,enc_wikimoon_13,2,54
enc_wikimoon_13_page_2_55,enc_wikimoon_13,2,55
enc_wikimoon_13_page_2_56,enc_wikimoon_13,2,56
enc_wikimoon_13_page_2_57,enc_wikimoon_13,2,57
enc_wikimoon_13_page_2_58,enc_wikimoon_13,2,58
enc_wikimoon_13_page_2_59,enc_wikimoon_13,2,59
enc_wikimoon_13_page_2_60,enc_wikimoon_13,2,60
enc_wikimoon_13_page_2_61,enc_wikimoon_13,2,61
enc_wikimoon_13_page_2_62,enc_wikimoon_13,2,62
enc_wikimoon_13_page_2_63,enc_wikimoon_13,2,63
enc_wikimoon_13_page_2_64,enc_wikimoon_13,2,64
enc_wikimoon_13_page_2_65,enc_wikimoon_13,2,65
enc_wikimoon_13_page_2_66,enc_wikimoon_13,2,66
enc_wikimoon_13_page_2_67,enc_wikimoon_13,2,67
enc_wikimoon_13_page_2_68,enc_wikimoon_13,2,68
enc_wikimoon_13_page_2_69,enc_wikimoon_13,2,69
enc_wikimoon_13_page_2_70,enc_wikimoon_13,2,70
enc_wikimoon_13_page_2_71,enc_wikimoon_13,2,71
enc_wikimoon_13_page_2_72,enc_wikimoon_13,2,72
enc_wikimoon_13_page_2_73,enc_wikimoon_13,2,73
enc_wikimoon_13_page_2_74,enc_wikimoon_13,2,74
lit_northwind_7_page_1_0,lit_northwind_7,1,0
lit_northwind_7_page_1_1,lit_northwind_7,1,1
lit_northwind_7_page_1_2,lit_northwind_7,1,2
lit_northwind_7_page_1_3,lit_northwind_7,1,3
lit_northwind_7_page_1_4,lit_northwind_7,1,4
lit_northwind_7_page_1_5,lit_northwind_7,1,5
lit_northwind_7_page_1_6,lit_northwind_7,1,6
lit_northwind_7_page_1_7,lit_northwind_7,1,7
lit_northwind_7_page_1_8,lit_northwind_7,1,8
lit_northwind_7_page_1_9,lit_northwind_7,1,9
lit_northwind_7_page_1_10,lit_northwind_7,1,10
lit_northwind_7_page_1_11,lit_northwind_7,1,11
lit_northwind_7_page_1_12,lit_northwind_7,1,12
lit_northwind_7_page_1_13,lit_northwind_7,1,13
lit_northwind_7_page_1_14,lit_northwind_7,1,14
lit_northwind_7_page_1_15,lit_northwind_7,1,15
lit_northwind_7_page_1_16,lit_northwind_7,1,16
lit_northwind_7_page_1_17,lit_northwind_7,1,17
lit_northwind_7_page_1_18,lit_northwind_7,1,18
lit_northwind_7_page_1_19,lit_northwind_7,1,19
lit_northwind_7_page_1_20,lit_northwind_7,1,20
lit_northwind_7_page_1_21,lit_northwind_7,1,21
lit_northwind_7_page_1_22,lit_northwind_7,1,22
lit_northwind_7_page_1_23,lit_northwind_7,1,23
lit_northwind_7_page_1_24,lit_northwind_7,1,24
lit_northwind_7_page_1_25,lit_northwind_7,1,25
lit_northwind_7_page_1_26,lit_northwind_7,1,26
lit_northwind_7_page_1_27,lit_northwind_7,1,27
lit_northwind_7_page_1_28,lit_northwind_7,1,28
lit_northwind_7_page_1_29,lit_northwind_7,1,29
lit_northwind_7_page_1_30,lit_northwind_7,1,30
lit_northwind_7_page_1_31,lit_northwind_7,1,31
lit_northwind_7_page_1_32,lit_northwind_7,1,32
lit_northwind_7_page_1_33,lit_northwind_7,1,33
lit_northwind_7_page_1_34,lit_northwind_7,1,34
lit_northwind_7_page_1_35,lit_northwind_7,1,35
