word_id,is_NE,NE_type,POS_tag,is_content_word
arg_pisacowsmilk_10_page_1_0,0,O,NOUN,1
arg_pisacowsmilk_10_page_1_1,0,O,ADP,0
arg_pisacowsmilk_10_page_1_2,0,O,NOUN,1
arg_pisacowsmilk_10_page_1_3,0,O,PUNCT,0
arg_pisacowsmilk_10_page_1_4,0,O,NOUN,1
arg_pisacowsmilk_10_page_1_5,0,O,ADP,0
arg_pisacowsmilk_10_page_1_6,0,O,DET,0
arg_pisacowsmilk_10_page_1_7,0,O,NOUN,1
arg_pisacowsmilk_10_page_1_8,0,O,ADV,1
arg_pisacowsmilk_10_page_1_9,1,GPE,NOUN,1
arg_pisacowsmilk_10_page_1_10,1,GPE,ADJ,1
arg_pisacowsmilk_10_page_1_11,0,O,PART,0
arg_pisacowsmilk_10_page_1_12,0,O,VERB,1
arg_pisacowsmilk_10_page_1_13,1,PRODUCT,NOUN,1
arg_pisacowsmilk_10_page_1_14,1,PRODUCT,ADP,0
arg_pisacowsmilk_10_page_1_15,1,PRODUCT,NOUN,1
arg_pisacowsmilk_10_page_1_16,0,O,AUX,0
arg_pisacowsmilk_10_page_1_17,0,O,PRON,0
arg_pisacowsmilk_10_page_1_18,0,O,ADJ,1
arg_pisacowsmilk_10_page_1_19,0,O,VERB,1
arg_pisacowsmilk_10_page_1_20,0,O,SCONJ,0
arg_pisacowsmilk_10_page_1_21,1,NUMERIC_VALUE,NUM,0
arg_pisacowsmilk_10_page_1_22,1,PERSON,NOUN,1
arg_pisacowsmilk_10_page_1_23,1,PERSON,PROPN,1
arg_pisacowsmilk_10_page_1_24,1,PERSON,PROPN,1
arg_pisacowsmilk_10_page_1_25,0,O,CCONJ,0
arg_pisacowsmilk_10_page_1_26,1,PERSON,PROPN,1
arg_pisacowsmilk_10_page_1_27,0,O,AUX,0
arg_pisacowsmilk_10_page_1_28,0,O,ADP,0
arg_pisacowsmilk_10_page_1_29,0,O,DET,0
arg_pisacowsmilk_10_page_1_30,1,FACILITY,NOUN,1
arg_pisacowsmilk_10_page_1_31,0,O,ADP,0
arg_pisacowsmilk_10_page_1_32,1,GPE,NOUN,1
arg_pisacowsmilk_10_page_1_33,1,PERSON,NOUN,1
arg_pisacowsmilk_10_page_1_34,0,O,AUX,0
arg_pisacowsmilk_10_page_1_35,0,O,VERB,1
arg_pisacowsmilk_10_page_1_36,0,O,ADP,0
arg_pisacowsmilk_10_page_1_37,0,O,ADV,1
arg_pisacowsmilk_10_page_1_38,0,O,DET,0
arg_pisacowsmilk_10_page_1_39,0,O,NOUN,1
arg_pisacowsmilk_10_page_1_40,0,O,ADP,0
arg_pisacowsmilk_10_page_1_41,0,O,NOUN,1
arg_pisacowsmilk_10_page_1_42,0,O,PRON,0
arg_pisacowsmilk_10_page_1_43,0,O,AUX,0
arg_pisacowsmilk_10_page_1_44,0,O,PUNCT,0
arg_pisacowsmilk_10_page_1_45,1,DATETIME,ADP,0
arg_pisacowsmilk_10_page_1_46,1,DATETIME,,0
arg_pisacowsmilk_10_page_1_47,1,DATETIME,NOUN,1
arg_pisacowsmilk_10_page_1_48,0,O,PART,0
arg_pisacowsmilk_10_page_1_49,0,O,AUX,0
arg_pisacowsmilk_10_page_1_50,0,O,ADV,1
arg_pisacowsmilk_10_page_1_51,0,O,VERB,1
arg_pisacowsmilk_10_page_1_52,1,PRODUCT,NOUN,1
arg_pisacowsmilk_10_page_1_53,1,PRODUCT,ADP,0
arg_pisacowsmilk_10_page_1_54,1,PRODUCT,NOUN,1
arg_pisacowsmilk_10_page_1_55,0,O,PRON,0
arg_pisacowsmilk_10_page_1_56,0,O,VERB,1
arg_pisacowsmilk_10_page_1_57,0,O,VERB,1
arg_pisacowsmilk_10_page_1_58,0,O,DET,0
arg_pisacowsmilk_10_page_1_59,1,PERSON,NOUN,1
arg_pisacowsmilk_10_page_1_60,0,O,ADP,0
arg_pisacowsmilk_10_page_1_61,0,O,NOUN,1
arg_pisacowsmilk_10_page_1_62,0,O,ADP,0
arg_pisacowsmilk_10_page_1_63,1,PRODUCT,NOUN,1
arg_pisacowsmilk_10_page_1_64,1,PERSON,PROPN,1
arg_pisacowsmilk_10_page_1_65,1,PERSON,PROPN,1
arg_pisacowsmilk_10_page_1_66,0,O,CCONJ,0
arg_pisacowsmilk_10_page_1_67,1,PERSON,PROPN,1
arg_pisacowsmilk_10_page_1_68,0,O,AUX,0
arg_pisacowsmilk_10_page_1_69,0,O,ADJ,1
arg_pisacowsmilk_10_page_1_70,0,O,ADP,0
arg_pisacowsmilk_10_page_1_71,0,O,NOUN,1
arg_pisacowsmilk_10_page_1_72,0,O,ADP,0
arg_pisacowsmilk_10_page_1_73,0,O,DET,0
arg_pisacowsmilk_10_page_1_74,0,O,NOUN,1
arg_pisacowsmilk_10_page_1_75,0,O,ADV,1
arg_pisacowsmilk_10_page_1_76,1,PERSON,PROPN,1
arg_pisacowsmilk_10_page_1_77,0,O,AUX,0
arg_pisacowsmilk_10_page_1_78,0,O,DET,0
arg_pisacowsmilk_10_page_1_79,0,O,NOUN,1
arg_pisacowsmilk_10_page_1_80,0,O,ADP,0
arg_pisacowsmilk_10_page_1_81,0,O,NOUN,1
arg_pisacowsmilk_10_page_1_82,0,O,ADP,0
arg_pisacowsmilk_10_page_1_83,0,O,PUNCT,0
arg_pisacowsmilk_10_page_1_84,1,PRODUCT,ADP,0
arg_pisacowsmilk_10_page_1_85,1,PRODUCT,NOUN,1
arg_pisacowsmilk_10_page_1_86,0,O,DET,0
arg_pisacowsmilk_10_page_1_87,1,NUMERIC_VALUE,NUM,0
arg_pisacowsmilk_10_page_1_88,0,O,AUX,0
arg_pisacowsmilk_10_page_1_89,1,ORDINAL,NUM,0
arg_pisacowsmilk_10_page_1_90,0,O,NOUN,1
arg_pisacowsmilk_10_page_1_91,0,O,CCONJ,0
arg_pisacowsmilk_10_page_1_92,0,O,PRON,0
arg_pisacowsmilk_10_page_1_93,0,O,VERB,1
arg_pisacowsmilk_10_page_2_0,1,ORGANIZATION,PROPN,1
arg_pisacowsmilk_10_page_2_1,1,ORGANIZATION,ADJ,1
arg_pisacowsmilk_10_page_2_2,0,O,NOUN,1
arg_pisacowsmilk_10_page_2_3,0,O,ADJ,1
arg_pisacowsmilk_10_page_2_4,0,O,DET,0
arg_pisacowsmilk_10_page_2_5,0,O,NOUN,1
arg_pisacowsmilk_10_page_2_6,0,O,NOUN,1
arg_pisacowsmilk_10_page_2_7,0,O,ADJ,1
arg_pisacowsmilk_10_page_3_0,1,PRODUCT,NOUN,1
arg_pisacowsmilk_10_page_3_1,1,PRODUCT,VERB,1
arg_pisacowsmilk_10_page_3_2,0,O,ADP,0
arg_pisacowsmilk_10_page_3_3,0,O,ADP,0
arg_pisacowsmilk_10_page_3_4,0,O,PUNCT,0
arg_pisacowsmilk_10_page_3_5,0,O,VERB,1
arg_pisacowsmilk_10_page_3_6,0,O,NOUN,1
arg_pisacowsmilk_10_page_3_7,0,O,ADJ,1
arg_pisacowsmilk_10_page_3_8,0,O,NOUN,1
arg_pisacowsmilk_10_page_3_9,0,O,NOUN,1
arg_pisacowsmilk_10_page_3_10,0,O,NOUN,1
arg_pisacowsmilk_10_page_3_11,0,O,NOUN,1
arg_pisacowsmilk_10_page_3_12,0,O,NOUN,1
arg_pisacowsmilk_10_page_3_13,0,O,PROPN,1
arg_pisacowsmilk_10_page_3_14,0,O,NOUN,1
arg_pisacowsmilk_10_page_3_15,0,O,ADJ,1
arg_pisacowsmilk_10_page_3_16,0,O,DET,0
arg_pisacowsmilk_10_page_3_17,0,O,NOUN,1
arg_pisacowsmilk_10_page_3_18,0,O,CCONJ,0
arg_pisacowsmilk_10_page_3_19,0,O,NOUN,1
arg_pisacowsmilk_10_page_3_20,0,O,VERB,1
arg_pisacowsmilk_10_page_3_21,0,O,NOUN,1
arg_pisacowsmilk_10_page_3_22,0,O,PUNCT,0
arg_pisacowsmilk_10_page_3_23,0,O,ADP,0
arg_pisacowsmilk_10_page_3_24,0,O,NOUN,1
arg_pisacowsmilk_10_page_3_25,0,O,ADJ,1
arg_pisacowsmilk_10_page_3_26,0,O,DET,0
arg_pisacowsmilk_10_page_3_27,0,O,DET,0
arg_pisacowsmilk_10_page_3_28,0,O,NOUN,1
arg_pisacowsmilk_10_page_3_29,0,O,ADJ,1
arg_pisacowsmilk_10_page_3_30,0,O,AUX,0
arg_pisacowsmilk_10_page_3_31,0,O,ADV,1
arg_pisacowsmilk_10_page_3_32,0,O,NOUN,1
arg_pisacowsmilk_10_page_3_33,0,O,VERB,1
arg_pisacowsmilk_10_page_3_34,0,O,ADP,0
arg_pisacowsmilk_10_page_3_35,0,O,ADP,0
arg_pisacowsmilk_10_page_3_36,0,O,PUNCT,0
arg_pisacowsmilk_10_page_3_37,0,O,PRON,0
arg_pisacowsmilk_10_page_3_38,0,O,AUX,0
arg_pisacowsmilk_10_page_3_39,0,O,NOUN,1
arg_pisacowsmilk_10_page_3_40,0,O,CCONJ,0
arg_pisacowsmilk_10_page_3_41,0,O,NOUN,1
arg_pisacowsmilk_10_page_3_42,0,O,ADP,0
arg_pisacowsmilk_10_page_3_43,0,O,PRON,0
arg_pisacowsmilk_10_page_3_44,0,O,AUX,0
arg_pisacowsmilk_10_page_3_45,0,O,NOUN,1
arg_pisacowsmilk_10_page_3_46,0,O,NOUN,1
arg_pisacowsmilk_10_page_3_47,0,O,DET,0
arg_pisacowsmilk_10_page_4_0,0,O,NOUN,1
arg_pisacowsmilk_10_page_4_1,0,O,ADP,0
arg_pisacowsmilk_10_page_4_2,0,O,NOUN,1
arg_pisacowsmilk_10_page_4_3,0,O,VERB,1
arg_pisacowsmilk_10_page_4_4,0,O,ADP,0
arg_pisacowsmilk_10_page_4_5,0,O,ADP,0
arg_pisacowsmilk_10_page_4_6,0,O,PUNCT,0
arg_pisacowsmilk_10_page_4_7,0,O,AUX,0
arg_pisacowsmilk_10_page_4_8,0,O,ADP,0
arg_pisacowsmilk_10_page_4_9,0,O,NOUN,1
arg_pisacowsmilk_10_page_4_10,0,O,NOUN,1
arg_pisacowsmilk_10_page_4_11,0,O,ADJ,1
arg_pisacowsmilk_10_page_4_12,0,O,CCONJ,0
arg_pisacowsmilk_10_page_4_13,0,O,VERB,1
arg_pisacowsmilk_10_page_4_14,0,O,ADP,0
arg_pisacowsmilk_10_page_4_15,0,O,NOUN,1
arg_pisacowsmilk_10_page_4_16,0,O,DET,0
arg_pisacowsmilk_10_page_4_17,0,O,NOUN,1
arg_pisacowsmilk_10_page_4_18,0,O,ADJ,1
arg_pisacowsmilk_10_page_4_19,0,O,NOUN,1
arg_pisacowsmilk_10_page_4_20,0,O,AUX,0
arg_pisacowsmilk_10_page_4_21,0,O,NOUN,1
arg_pisacowsmilk_10_page_4_22,0,O,ADJ,1
arg_pisacowsmilk_10_page_4_23,0,O,AUX,0
arg_pisacowsmilk_10_page_4_24,0,O,NOUN,1
arg_pisacowsmilk_10_page_4_25,0,O,ADJ,1
arg_pisacowsmilk_10_page_4_26,0,O,CCONJ,0
arg_pisacowsmilk_10_page_4_27,0,O,VERB,1
arg_pisacowsmilk_10_page_4_28,0,O,ADP,0
arg_pisacowsmilk_10_page_4_29,0,O,NOUN,1
arg_pisacowsmilk_10_page_4_30,0,O,NOUN,1
arg_pisacowsmilk_10_page_4_31,0,O,DET,0
arg_pisacowsmilk_10_page_4_32,1,PRODUCT,NOUN,1
arg_pisacowsmilk_10_page_4_33,0,O,ADP,0
arg_pisacowsmilk_10_page_4_34,0,O,NOUN,1
arg_pisacowsmilk_10_page_4_35,0,O,AUX,0
arg_pisacowsmilk_10_page_4_36,0,O,ADV,1
arg_pisacowsmilk_10_page_4_37,0,O,ADP,0
arg_pisacowsmilk_10_page_4_38,0,O,NOUN,1
